Recording,Result
0,3
1,8
2,1
3,2
4,5
5,2
6,1
7,7
8,5
9,5
10,7
11,8
12,2
13,5
14,5
15,1
16,3
17,2
18,8
19,1
20,8
21,8
22,5
23,8
24,2
25,3
26,5
27,2
28,1
29,6
30,3
31,5
32,5
33,3
34,9
35,1
36,8
37,5
38,9
39,6
40,7
41,8
42,2
43,8
44,8
45,5
46,5
47,5
48,5
49,3
50,5
51,5
52,1
53,3
54,1
55,6
56,6
57,6
58,5
59,3
60,5
61,6
62,8
63,8
64,5
65,3
66,5
67,2
68,1
69,9
70,5
71,3
72,7
73,3
74,5
75,5
76,3
77,1
78,8
79,5
80,1
81,8
82,8
83,8
84,8
85,1
86,2
87,3
88,1
89,6
90,5
91,3
92,7
93,5
94,5
95,3
96,2
97,8
98,4
99,2
